Year,Month,Temperature,State
2012,September,19.1,South Australia
2012,September,18,Australian Capital Territory
2013,September,27.2,Queensland
2013,September,16.7,Tasmania
2013,September,19.1,Victoria
2013,September,22.3,New South Wales
2013,September,33.3,Northern Territory
2013,September,20.1,Western Australia
2013,September,21.3,South Australia
2013,September,19.9,Australian Capital Territory
2014,September,25.2,Queensland
2014,September,17.9,Tasmania
2014,September,18.1,Victoria
2014,September,19.4,New South Wales
2014,September,33.2,Northern Territory
2014,September,22.1,Western Australia
2014,September,20.1,South Australia
2014,September,17.9,Australian Capital Territory
2015,September,24.7,Queensland
2015,September,16.2,Tasmania
2015,September,17.3,Victoria
2015,September,18.8,New South Wales
2015,September,33.2,Northern Territory
2015,September,22.8,Western Australia
2015,September,18.5,South Australia
2015,September,17.4,Australian Capital Territory
2016,September,24.9,Queensland
2016,September,16.2,Tasmania
2016,September,16.2,Victoria
2016,September,19.4,New South Wales
2016,September,33.2,Northern Territory
2016,September,18.5,Western Australia
2016,September,16.9,South Australia
2016,September,15.8,Australian Capital Territory
2017,September,27.3,Queensland
2017,September,15.1,Tasmania
2017,September,17.7,Victoria
2017,September,21.4,New South Wales
2017,September,34.1,Northern Territory
2017,September,20.8,Western Australia
2017,September,18.7,South Australia
2017,September,18.1,Australian Capital Territory
2018,September,24.9,Queensland
2018,September,16.3,Tasmania
2018,September,17.4,Victoria
2018,September,18.6,New South Wales
2018,September,33.6,Northern Territory
2018,September,20.6,Western Australia
2018,September,18.3,South Australia
2018,September,18,Australian Capital Territory
2019,September,27.4,Queensland
2019,September,16.7,Tasmania
2019,September,17.5,Victoria
2019,September,19.9,New South Wales
2019,September,32.7,Northern Territory
2019,September,23.1,Western Australia
2019,September,18.8,South Australia
2019,September,18.8,Australian Capital Territory
2020,September,25.9,Queensland
2020,September,16.8,Tasmania
2020,September,17.7,Victoria
2020,September,20.5,New South Wales
2020,September,33.9,Northern Territory
2020,September,21.7,Western Australia
2020,September,20.5,South Australia
2020,September,17.6,Australian Capital Territory
2021,September,25.2,Queensland
2021,September,15.8,Tasmania
2021,September,17.9,Victoria
2021,September,20.1,New South Wales
2021,September,34.1,Northern Territory
2021,September,21.6,Western Australia
2021,September,19.2,South Australia
2021,September,17.3,Australian Capital Territory
2022,September,24.3,Queensland
2022,September,15.3,Tasmania
2022,September,16.1,Victoria
2022,September,18.5,New South Wales
2022,September,33.8,Northern Territory
2022,September,21.2,Western Australia
2022,September,16.9,South Australia
2022,September,16.2,Australian Capital Territory
2023,September,25.9,Queensland
2023,September,17.5,Tasmania
2023,September,20.7,Victoria
2023,September,21.2,New South Wales
2023,September,33.7,Northern Territory
2023,September,22.7,Western Australia
2023,September,21.1,South Australia
2023,September,20.9,Australian Capital Territory
2010,October,24.8,Queensland
2010,October,18.5,Tasmania
2010,October,19.4,Victoria
2010,October,19.9,New South Wales
2010,October,33.7,Northern Territory
2010,October,25.1,Western Australia
2010,October,20.5,South Australia
2010,October,19.6,Australian Capital Territory
2010,October,25.6,Queensland
2011,October,17.1,Tasmania
2011,October,19.8,Victoria
2011,October,19.5,New South Wales
2011,October,33.3,Northern Territory
2011,October,24.4,Western Australia
2011,October,21.3,South Australia
2011,October,20.6,Australian Capital Territory
2011,October,27.3,Queensland
2012,October,17.5,Tasmania
2012,October,20.3,Victoria
2012,October,20.5,New South Wales
2012,October,33.9,Northern Territory
2012,October,24.9,Western Australia
2012,October,21.9,South Australia
2012,October,20.8,Australian Capital Territory
2012,October,28.8,Queensland
2013,October,17.7,Tasmania
2013,October,18.9,Victoria
2013,October,23.1,New South Wales
2013,October,34.1,Northern Territory
2013,October,24.1,Western Australia
2013,October,21.8,South Australia
2013,October,21.9,Australian Capital Territory
2013,October,27.8,Queensland
2014,October,18.1,Tasmania
2014,October,22.1,Victoria
2014,October,21.5,New South Wales
2014,October,34.3,Northern Territory
2014,October,24.9,Western Australia
2014,October,24.5,South Australia
2014,October,22.5,Australian Capital Territory
2014,October,27.1,Queensland
2015,October,19.7,Tasmania
2015,October,25.5,Victoria
2015,October,22.3,New South Wales
2015,October,33.8,Northern Territory
2015,October,27,Western Australia
2015,October,25.4,South Australia
2015,October,24.8,Australian Capital Territory
2015,October,27.1,Queensland
2016,October,17.2,Tasmania
2016,October,18.5,Victoria
2016,October,21.5,New South Wales
2016,October,33.8,Northern Territory
2016,October,22,Western Australia
2016,October,20.3,South Australia
2016,October,18.5,Australian Capital Territory
2016,October,27,Queensland
2017,October,20,Tasmania
2017,October,21.6,Victoria
2017,October,21.3,New South Wales
2017,October,33.9,Northern Territory
2017,October,23.2,Western Australia
2017,October,22.9,South Australia
2017,October,23.2,Australian Capital Territory
2017,October,26.1,Queensland
2018,October,18.3,Tasmania
2018,October,21.8,Victoria
2018,October,19.2,New South Wales
2018,October,34.2,Northern Territory
2018,October,23.8,Western Australia
2018,October,23,South Australia
2018,October,22.8,Australian Capital Territory
2018,October,26.8,Queensland
2019,October,18.8,Tasmania
2019,October,21.6,Victoria
2019,October,21.7,New South Wales
2019,October,34.3,Northern Territory
2019,October,24.7,Western Australia
2019,October,23.4,South Australia
2019,October,23.6,Australian Capital Territory
2019,October,27.8,Queensland
2020,October,16,Tasmania
2020,October,19,Victoria
2020,October,20.9,New South Wales
2020,October,33.6,Northern Territory
2020,October,25.6,Western Australia
2020,October,21.4,South Australia
2020,October,20.3,Australian Capital Territory
2020,October,28.3,Queensland
2021,October,16.5,Tasmania
2021,October,19.2,Victoria
2021,October,21,New South Wales
2021,October,34.5,Northern Territory
2021,October,21.8,Western Australia
2021,October,20.6,South Australia
2021,October,19.2,Australian Capital Territory
2021,October,25.8,Queensland
2022,October,16.9,Tasmania
2022,October,18.9,Victoria
2022,October,20.4,New South Wales
2022,October,33.8,Northern Territory
2022,October,22.3,Western Australia
2022,October,20.2,South Australia
2022,October,18.3,Australian Capital Territory
2022,October,27.5,Queensland
2023,October,18,Tasmania
2023,October,19.9,Victoria
2023,October,21.9,New South Wales
2023,October,34.6,Northern Territory
2023,October,27.3,Western Australia
2023,October,20.9,South Australia
2023,October,21.9,Australian Capital Territory
2010,November,26.6,Queensland
2010,November,19,Tasmania
2010,November,22,Victoria
2010,November,20.8,New South Wales
2010,November,33,Northern Territory
2010,November,30.3,Western Australia
2010,November,23,South Australia
2010,November,22.5,Australian Capital Territory
2010,November,28.8,Queensland
2011,November,20.7,Tasmania
2011,November,23.4,Victoria
2011,November,23.1,New South Wales
2011,November,32.9,Northern Territory
2011,November,26.1,Western Australia
2011,November,25.5,South Australia
2011,November,25.4,Australian Capital Territory
2011,November,28.2,Queensland
2012,November,20.4,Tasmania
2012,November,23.3,Victoria
2012,November,21.2,New South Wales
2012,November,33.9,Northern Territory
2012,November,26.1,Western Australia
2012,November,26.6,South Australia
2012,November,25.4,Australian Capital Territory
2012,November,28.5,Queensland
2013,November,16.9,Tasmania
2013,November,21.1,Victoria
2013,November,21.7,New South Wales
2013,November,32.9,Northern Territory
2013,November,29.5,Western Australia
2013,November,24.2,South Australia
2013,November,23.8,Australian Capital Territory
2013,November,29.6,Queensland
2014,November,19.4,Tasmania
2014,November,23.9,Victoria
2014,November,22.7,New South Wales
2014,November,34.3,Northern Territory
2014,November,26.4,Western Australia
2014,November,25.3,South Australia
2014,November,27.9,Australian Capital Territory
2014,November,29.2,Queensland
2015,November,20.5,Tasmania
2015,November,23.6,Victoria
2015,November,23.8,New South Wales
2015,November,34.7,Northern Territory
2015,November,29,Western Australia
2015,November,25.7,South Australia
2015,November,25.3,Australian Capital Territory
2015,November,30.2,Queensland
2016,November,18.6,Tasmania
2016,November,21.2,Victoria
2016,November,22.6,New South Wales
2016,November,33.7,Northern Territory
2016,November,28.3,Western Australia
2016,November,22.7,South Australia
2016,November,24.8,Australian Capital Territory
2016,November,27,Queensland
2017,November,22.4,Tasmania
2017,November,26.6,Victoria
2017,November,21.2,New South Wales
2017,November,33.9,Northern Territory
2017,November,30,Western Australia
2017,November,27,South Australia
2017,November,24.3,Australian Capital Territory
2017,November,29.8,Queensland
2018,November,19.5,Tasmania
2018,November,22.5,Victoria
2018,November,22.7,New South Wales
2018,November,34,Northern Territory
2018,November,25.7,Western Australia
2018,November,23.3,South Australia
2018,November,24.5,Australian Capital Territory
2018,November,30.6,Queensland
2019,November,20.2,Tasmania
2019,November,22.4,Victoria
2019,November,23.3,New South Wales
2019,November,34.5,Northern Territory
2019,November,29.8,Western Australia
2019,November,22.7,South Australia
2019,November,26.8,Australian Capital Territory
2019,November,28.9,Queensland
2020,November,22.3,Tasmania
2020,November,24.8,Victoria
2020,November,22.8,New South Wales
2020,November,35,Northern Territory
2020,November,25,Western Australia
2020,November,28,South Australia
2020,November,25.1,Australian Capital Territory
2020,November,27.3,Queensland
2021,November,18.3,Tasmania
2021,November,20.3,Victoria
2021,November,20.3,New South Wales
2021,November,34.7,Northern Territory
2021,November,26.8,Western Australia
2021,November,22.9,South Australia
2021,November,20.2,Australian Capital Territory
2021,November,28,Queensland
2022,November,18.5,Tasmania
2022,November,20.1,Victoria
2022,November,21.2,New South Wales
2022,November,34.1,Northern Territory
2022,November,26.1,Western Australia
2022,November,22.2,South Australia
2022,November,20.7,Australian Capital Territory
2022,November,27.9,Queensland
2023,November,19,Tasmania
2023,November,22.4,Victoria
2023,November,21.7,New South Wales
2023,November,34.4,Northern Territory
2023,November,31.5,Western Australia
2023,November,23.5,South Australia
2023,November,25.5,Australian Capital Territory
2010,December,27.8,Queensland
2010,December,20.3,Tasmania
2010,December,24.1,Victoria
2010,December,23.3,New South Wales
2010,December,31.9,Northern Territory
2010,December,30.5,Western Australia
2010,December,25.9,South Australia
2010,December,25,Australian Capital Territory
2010,December,27.6,Queensland
2011,December,20.3,Tasmania
2011,December,24.4,Victoria
2011,December,20.6,New South Wales
2011,December,33.3,Northern Territory
2011,December,30.6,Western Australia
2011,December,26.9,South Australia
2011,December,23.6,Australian Capital Territory
2011,December,30.5,Queensland
2012,December,22.5,Tasmania
2012,December,26,Victoria
2012,December,23.2,New South Wales
2012,December,34.2,Northern Territory
2012,December,31.4,Western Australia
2012,December,27,South Australia
2012,December,27.7,Australian Capital Territory
2012,December,29.7,Queensland
2013,December,21.2,Tasmania
2013,December,24.7,Victoria
2013,December,23.4,New South Wales
2013,December,32.6,Northern Territory
2013,December,31.1,Western Australia
2013,December,27.1,South Australia
2013,December,28.5,Australian Capital Territory
2013,December,29.9,Queensland
2014,December,20.3,Tasmania
2014,December,24.9,Victoria
2014,December,23.3,New South Wales
2014,December,34,Northern Territory
2014,December,29.7,Western Australia
2014,December,25,South Australia
2014,December,27.7,Australian Capital Territory
2014,December,29.2,Queensland
2015,December,22.5,Tasmania
2015,December,29.1,Victoria
2015,December,23.1,New South Wales
2015,December,32.4,Northern Territory
2015,December,30.1,Western Australia
2015,December,30.3,South Australia
2015,December,29.3,Australian Capital Territory
2015,December,30.1,Queensland
2016,December,22,Tasmania
2016,December,26.3,Victoria
2016,December,25,New South Wales
2016,December,32.6,Northern Territory
2016,December,29.3,Western Australia
2016,December,26.6,South Australia
2016,December,28.7,Australian Capital Territory
2016,December,30.7,Queensland
2017,December,22.5,Tasmania
2017,December,25.6,Victoria
2017,December,24.3,New South Wales
2017,December,33.9,Northern Territory
2017,December,30.6,Western Australia
2017,December,26.1,South Australia
2017,December,27.8,Australian Capital Territory
2017,December,30.1,Queensland
2018,December,22.3,Tasmania
2018,December,26.1,Victoria
2018,December,23.5,New South Wales
2018,December,34,Northern Territory
2018,December,30.3,Western Australia
2018,December,28.6,South Australia
2018,December,29.3,Australian Capital Territory
2018,December,31.9,Queensland
2019,December,21.8,Tasmania
2019,December,26.4,Victoria
2019,December,23.4,New South Wales
2019,December,35.3,Northern Territory
2019,December,33.9,Western Australia
2019,December,29.1,South Australia
2019,December,31.7,Australian Capital Territory
2019,December,29.9,Queensland
2020,December,20.7,Tasmania
2020,December,23.8,Victoria
2020,December,23.5,New South Wales
2020,December,32.6,Northern Territory
2020,December,32.4,Western Australia
2020,December,25.5,South Australia
2020,December,25.4,Australian Capital Territory
2020,December,29.5,Queensland
2021,December,21.1,Tasmania
2021,December,24.7,Victoria
2021,December,23.1,New South Wales
2021,December,33.5,Northern Territory
2021,December,32.5,Western Australia
2021,December,26.2,South Australia
2021,December,25.2,Australian Capital Territory
2021,December,28.1,Queensland
2022,December,19.8,Tasmania
2022,December,24.1,Victoria
2022,December,21.6,New South Wales
2022,December,33.1,Northern Territory
2022,December,30.4,Western Australia
2022,December,26.5,South Australia
2022,December,23.9,Australian Capital Territory
2022,December,31.6,Queensland
2023,December,21.3,Tasmania
2023,December,24,Victoria
2023,December,25.1,New South Wales
2023,December,34.1,Northern Territory
2023,December,32.5,Western Australia
2023,December,25,South Australia
2023,December,27.1,Australian Capital Territory
