Year,Month,Temperature,State
2019,February,22.9,Tasmania
2019,February,27.7,Victoria
2019,February,25,New South Wales
2019,February,33.1,Northern Territory
2019,February,32.2,Western Australia
2019,February,28.2,South Australia
2019,February,29.1,Australian Capital Territory
2020,February,29.9,Queensland
2020,February,20.8,Tasmania
2020,February,24.9,Victoria
2020,February,24.8,New South Wales
2020,February,33.4,Northern Territory
2020,February,33,Western Australia
2020,February,25.5,South Australia
2020,February,27.7,Australian Capital Territory
2021,February,30,Queensland
2021,February,22.5,Tasmania
2021,February,25.3,Victoria
2021,February,23.8,New South Wales
2021,February,31.4,Northern Territory
2021,February,30.8,Western Australia
2021,February,26.3,South Australia
2021,February,26.1,Australian Capital Territory
2022,February,29.1,Queensland
2022,February,22.5,Tasmania
2022,February,26.3,Victoria
2022,February,25.1,New South Wales
2022,February,31.7,Northern Territory
2022,February,35.1,Western Australia
2022,February,27.2,South Australia
2022,February,26.2,Australian Capital Territory
2023,February,30.9,Queensland
2023,February,23.2,Tasmania
2023,February,25.9,Victoria
2023,February,24.9,New South Wales
2023,February,31.4,Northern Territory
2023,February,33,Western Australia
2023,February,28.1,South Australia
2023,February,27.7,Australian Capital Territory
2010,March,28.2,Queensland
2010,March,22.7,Tasmania
2010,March,25,Victoria
2010,March,23.8,New South Wales
2010,March,33.3,Northern Territory
2010,March,31.1,Western Australia
2010,March,26.7,South Australia
2010,March,24.6,Australian Capital Territory
2011,March,28.7,Queensland
2011,March,20,Tasmania
2011,March,22.5,Victoria
2011,March,24.1,New South Wales
2011,March,31,Northern Territory
2011,March,32.8,Western Australia
2011,March,24.3,South Australia
2011,March,23.3,Australian Capital Territory
2012,March,28.2,Queensland
2012,March,20.7,Tasmania
2012,March,22.6,Victoria
2012,March,22.7,New South Wales
2012,March,31.8,Northern Territory
2012,March,31.6,Western Australia
2012,March,25.3,South Australia
2012,March,22.1,Australian Capital Territory
2013,March,28.4,Queensland
2013,March,22.9,Tasmania
2013,March,26.9,Victoria
2013,March,24.1,New South Wales
2013,March,32,Northern Territory
2013,March,28.4,Western Australia
2013,March,27.3,South Australia
2013,March,25.7,Australian Capital Territory
2014,March,29.2,Queensland
2014,March,22,Tasmania
2014,March,25.5,Victoria
2014,March,24.1,New South Wales
2014,March,33,Northern Territory
2014,March,30.8,Western Australia
2014,March,26,South Australia
2014,March,24.2,Australian Capital Territory
2015,March,30.2,Queensland
2015,March,20.3,Tasmania
2015,March,23.8,Victoria
2015,March,24.4,New South Wales
2015,March,32.7,Northern Territory
2015,March,29.9,Western Australia
2015,March,24.1,South Australia
2015,March,26.3,Australian Capital Territory
2016,March,29.9,Queensland
2016,March,21.6,Tasmania
2016,March,25.7,Victoria
2016,March,24.1,New South Wales
2016,March,33.7,Northern Territory
2016,March,30,Western Australia
2016,March,27.1,South Australia
2016,March,27.7,Australian Capital Territory
2017,March,30.6,Queensland
2017,March,22.4,Tasmania
2017,March,27.8,Victoria
2017,March,24,New South Wales
2017,March,32.1,Northern Territory
2017,March,28.3,Western Australia
2017,March,27.8,South Australia
2017,March,25.9,Australian Capital Territory
2018,March,28.7,Queensland
2018,March,21.4,Tasmania
2018,March,25.8,Victoria
2018,March,24.8,New South Wales
2018,March,32.7,Northern Territory
2018,March,30.5,Western Australia
2018,March,26.3,South Australia
2018,March,26.3,Australian Capital Territory
2019,March,31.2,Queensland
2019,March,21.5,Tasmania
2019,March,26.4,Victoria
2019,March,24.8,New South Wales
2019,March,33.4,Northern Territory
2019,March,31,Western Australia
2019,March,25.6,South Australia
2019,March,26,Australian Capital Territory
2020,March,28.7,Queensland
2020,March,20,Tasmania
2020,March,22.9,Victoria
2020,March,23.6,New South Wales
2020,March,33.2,Northern Territory
2020,March,30.3,Western Australia
2020,March,24.9,South Australia
2020,March,23.4,Australian Capital Territory
2021,March,28.5,Queensland
2021,March,21.2,Tasmania
2021,March,22.5,Victoria
2021,March,23.7,New South Wales
2021,March,32.3,Northern Territory
2021,March,30.4,Western Australia
2021,March,25,South Australia
2021,March,23,Australian Capital Territory
2022,March,29.2,Queensland
2022,March,21.5,Tasmania
2022,March,24.6,Victoria
2022,March,23.9,New South Wales
2022,March,33.4,Northern Territory
2022,March,30.5,Western Australia
2022,March,26.3,South Australia
2022,March,24,Australian Capital Territory
2023,March,30.8,Queensland
2023,March,20.7,Tasmania
2023,March,23.8,Victoria
2023,March,25.8,New South Wales
2023,March,32.5,Northern Territory
2023,March,30.6,Western Australia
2023,March,24.1,South Australia
2023,March,25.5,Australian Capital Territory
2010,April,27.3,Queensland
2010,April,19.3,Tasmania
2010,April,22.1,Victoria
2010,April,22.8,New South Wales
2010,April,32.5,Northern Territory
2010,April,25.7,Western Australia
2010,April,23.2,South Australia
2010,April,21.1,Australian Capital Territory
2011,April,26.2,Queensland
2011,April,18.1,Tasmania
2011,April,20.3,Victoria
2011,April,21.9,New South Wales
2011,April,31.7,Northern Territory
2011,April,27.9,Western Australia
2011,April,22.3,South Australia
2011,April,19.6,Australian Capital Territory
2012,April,26.5,Queensland
2012,April,19.6,Tasmania
2012,April,21,Victoria
2012,April,22,New South Wales
2012,April,32.8,Northern Territory
2012,April,26.4,Western Australia
2012,April,23.6,South Australia
2012,April,20.2,Australian Capital Territory
2013,April,26.7,Queensland
2013,April,17.9,Tasmania
2013,April,20.5,Victoria
2013,April,22.5,New South Wales
2013,April,33.7,Northern Territory
2013,April,28.7,Western Australia
2013,April,23.2,South Australia
2013,April,22.1,Australian Capital Territory
2014,April,28.2,Queensland
2014,April,18.3,Tasmania
2014,April,20.1,Victoria
2014,April,22.6,New South Wales
2014,April,33,Northern Territory
2014,April,26.9,Western Australia
2014,April,22.8,South Australia
